Old Key,New Key
dashboard.instructions.description,dashboard.cards.how-to-create.back-side
dashboard.instructions.export.body,info.how-to-create.instructions.export.body
dashboard.instructions.export.heading,info.how-to-create.instructions.export.heading
dashboard.instructions.finalise.body,info.how-to-create.instructions.finalise.body
dashboard.instructions.finalise.heading,info.how-to-create.instructions.finalise.heading
dashboard.instructions.heading,dashboard.cards.how-to-create.front-side
dashboard.instructions.steps.body,info.how-to-create.instructions.steps.body
dashboard.instructions.steps.heading,info.how-to-create.instructions.steps.heading
dashboard.instructions.update.body,info.how-to-create.instructions.update.body
dashboard.instructions.update.heading,info.how-to-create.instructions.update.heading
dashboard.tool.bulletpoints.benefits.one,info.about.bulletpoints.benefits.one
dashboard.tool.bulletpoints.benefits.text,info.about.bulletpoints.benefits.text
dashboard.tool.bulletpoints.benefits.three,info.about.bulletpoints.benefits.three
dashboard.tool.bulletpoints.benefits.two,info.about.bulletpoints.benefits.two
dashboard.tool.bulletpoints.dmp.sepg.link,info.about.bulletpoints.dmp.sepg.link
dashboard.tool.bulletpoints.dmp.sepg.text,info.about.bulletpoints.dmp.sepg.text
dashboard.tool.bulletpoints.dmp.text,info.about.bulletpoints.dmp.text
dashboard.tool.bulletpoints.document,info.about.bulletpoints.document
dashboard.tool.bulletpoints.madmp.prefix,info.about.bulletpoints.madmp.prefix
dashboard.tool.bulletpoints.madmp.rda.link,info.about.bulletpoints.madmp.rda.link
dashboard.tool.bulletpoints.madmp.rda.text,info.about.bulletpoints.madmp.rda.text
dashboard.tool.bulletpoints.madmp.suffix,info.about.bulletpoints.madmp.suffix
dashboard.tool.bulletpoints.supports,info.about.bulletpoints.supports
dashboard.tool.description,dashboard.cards.about-damap.back-side
dashboard.tool.heading,info.how-to-create.tool.heading
dashboard.tool.link,info.about.link
dialog.delete.button,delete.dialog.button.delete
dialog.delete.cancel,delete.dialog.button.cancel
dialog.delete.content.dmp,delete.dialog.message.dmp
dialog.delete.content.storage,delete.dialog.message.storage
dialog.delete.content.storageTranslation,delete.dialog.message.storageTranslation
dialog.delete.title,delete.dialog.title
dialog.export.button,export-dialog.button.ok
dialog.export.cancel,export-dialog.button.cancel
dialog.export.content,export-dialog.message
dialog.export.title,export-dialog.title
dialog.export.type,export-dialog.field.type
dmp.dialog.button.cancel,version-save.dialog.button.cancel
dmp.dialog.button.save,version-save.dialog.button.save
dmp.dialog.description,version-save.dialog.message
dmp.dialog.label,version-save.dialog.field.versionName.label
dmp.dialog.title,version-save.dialog.title
dmp.error.load,dmp.error.load
dmp.error.save,dmp.save.error
dmp.nodatasets,dmp.nodatasets
dmp.nonewdataset,dmp.nonewdataset
dmp.steps.costs.addButton,dmp.steps.costs.addButton
dmp.steps.costs.infoBox.description,dmp.steps.costs.infoBox.description
